Player,Team,Age,Height,Weight,COLLEGE,COUNTRY,DRAFT,YEAR,DRAFT ROUND,DRAFT NUMBER,GP,PTS,REB,AST,NETRTG,OREB%,DREB%,USG%,TS%,AST%
Naji Marshall  ,    NOP  ,24,    6-7  ,220,    Xavier  ,    USA  ,      ,      ,      ,6,3,1,0.8,0,5.4,6,10.6,76.5,12.2,
Naz Reid  ,    MIN  ,22,    6-9  ,264,    Louisiana State  ,    USA  ,      ,      ,      ,5,4.8,2.8,0,-19.4,3.3,17.6,18.9,59.8,0,
Nemanja Bjelica  ,    GSW  ,34,    6-9  ,234,    None  ,    Serbia  ,2010,2,35,15,2.9,2.1,1.1,-7.2,4.2,17.6,12.9,58,17.3,
Nic Claxton  ,    BKN  ,23,    6-11  ,215,    Georgia  ,    USA  ,2019,2,31,4,10.5,6.3,1.5,-0.5,8,17.8,17,62.4,9.2,
Nickeil Alexander-Walker  ,    UTA  ,23,    6-5  ,205,    Virginia Tech  ,    Canada  ,2019,1,17,1,5,1,1,36.4,0,16.7,16.7,102.5,50,
Nik Stauskas  ,    BOS  ,28,    6-6  ,207,    Michigan  ,    Canada  ,2014,1,8,13,1,0.3,0.3,26.8,0,15.4,25.9,47.2,33.3,
Nikola Jokic  ,    DEN  ,27,    6-11  ,284,    None  ,    Serbia  ,2014,2,41,5,31,13.2,5.8,-12.5,9.8,31.4,35.8,64.3,35.8,
Nikola Vucevic  ,    CHI  ,31,    6-10  ,260,    Southern California  ,    Montenegro  ,2011,1,16,5,19.4,12.4,3.2,-10.5,6.8,27.1,24.2,52,16.2,
OG Anunoby  ,    TOR  ,24,    6-7  ,232,    Indiana  ,    United Kingdom  ,2017,1,23,6,17.3,4,2.5,-8.3,3.3,9.3,21.3,58.4,11.7,
Omer Yurtseven  ,    MIA  ,24,    6-11  ,275,    Georgetown  ,    Turkey  ,      ,      ,      ,9,2.8,0.8,0.3,5,2.5,13.6,21.3,64.7,15,
Onyeka Okongwu  ,    ATL  ,21,    6-8  ,240,    Southern California  ,    USA  ,2020,1,6,5,5.2,5.4,0.4,0.6,9.9,14.3,9.9,63.7,3.1,
Otto Porter Jr.  ,    GSW  ,29,    6-8  ,198,    Georgetown  ,    USA  ,2013,1,3,19,5.4,3.4,1.8,12.4,3.6,14,10.8,63,11.5,
P.J. Tucker  ,    MIA  ,37,    6-5  ,245,    Texas  ,    USA  ,2006,2,35,18,7.9,5.7,1.8,5.5,6.7,14.3,11.4,61.2,9.3,
Pascal Siakam  ,    TOR  ,28,    6-8  ,230,    New Mexico State  ,    Cameroon  ,2016,1,27,6,22.8,7.2,5.8,-9,3.1,16.4,24.2,55.8,23,
Pat Connaughton  ,    MIL  ,29,    6-5  ,209,    Notre Dame  ,    USA  ,2015,2,41,12,9.5,4.3,0.9,0.9,0.9,13.9,12.9,63.2,5.1,
Patrick Beverley  ,    MIN  ,33,    6-1  ,180,    Arkansas  ,    USA  ,2009,2,42,6,11,3.2,4.8,-4.8,2.1,7.3,15.9,56.2,23.6,
Patrick Williams  ,    CHI  ,20,    6-7  ,215,    Florida State  ,    USA  ,2020,1,4,5,11.8,5.4,0.8,-21.9,3.4,13.9,16.9,56.9,4.5,
Patty Mills  ,    BKN  ,33,    6-0  ,180,    St. Mary's  ,    Australia  ,2009,2,55,4,6.3,1,0,-1,0,5.3,9.9,78.1,0,
Paul Millsap  ,    PHI  ,37,    6-7  ,257,    Louisiana Tech  ,    USA  ,2006,2,47,1,0,1,1,-7.3,0,20,0,0,25,
Paul Reed  ,    PHI  ,23,    6-9  ,210,    DePaul  ,    USA  ,2020,2,58,12,3.7,3.8,0.8,0.5,16.3,17.5,14.5,56.3,10.8,
Payton Pritchard  ,    BOS  ,24,    6-1  ,195,    Oregon  ,    USA  ,2020,1,26,24,4.8,1.9,1.6,9.3,3.6,11.1,16.5,54.5,18.4,
Precious Achiuwa  ,    TOR  ,22,    6-8  ,225,    Memphis  ,    Nigeria  ,2020,1,20,6,10.2,4.8,1,-10.8,5,15.4,17.9,54.1,5.8,
Rayjon Tucker  ,    MIL  ,24,    6-3  ,209,    Arkansas-Little Rock  ,    USA  ,      ,      ,      ,8,0.3,0.4,0,-18.6,3.6,9.5,6.3,33.3,0,
Reggie Bullock Jr.  ,    DAL  ,31,    6-6  ,205,    North Carolina  ,    USA  ,2013,1,25,18,10.6,4.6,1.7,1.8,1.2,11.5,10.8,59.8,6.3,
Robert Williams III  ,    BOS  ,24,    6-9  ,237,    Texas A&M  ,    USA  ,2018,1,27,17,7.7,6.2,1,7.5,10.8,14.3,10.9,72.5,6.8,
Royce O'Neale  ,    UTA  ,29,    6-5  ,226,    Baylor  ,    USA  ,      ,      ,      ,6,6.2,5.7,1.5,-12.9,3.2,16.8,9.6,51.6,7.4,
Rudy Gobert  ,    UTA  ,30,    7-1  ,258,    None  ,    France  ,2013,1,27,6,12,13.2,0.5,-7.2,10.8,31,14.2,68.8,2.6,
Sam Hauser  ,    BOS  ,24,    6-7  ,217,    Virginia  ,    USA  ,      ,      ,      ,7,0.7,0.1,0.3,32.1,0,6.3,17.2,51.2,33.3,
Scottie Barnes  ,    TOR  ,20,    6-7  ,225,    Florida State  ,    USA  ,2021,1,4,4,12.8,9,4.3,-10.3,5.3,23.2,17.7,52,17.9,
Serge Ibaka  ,    MIL  ,32,    6-10  ,235,    None  ,    Democratic Republic of the Congo  ,2008,1,24,6,1.5,1.7,0,-25.8,6.7,28.6,35.2,26.7,0,
Seth Curry  ,    BKN  ,31,    6-2  ,185,    Duke  ,    USA  ,      ,      ,      ,4,14.5,2.5,3,-3.1,1.9,7,15.1,71.9,14.5,
Shake Milton  ,    PHI  ,25,    6-5  ,205,    Southern Methodist  ,    USA  ,2018,2,54,12,5,1.6,0.9,5.7,2.8,8.7,14.4,64.1,10.2,
Skylar Mays  ,    ATL  ,24,    6-4  ,205,    Louisiana State  ,    USA  ,2020,2,50,2,1,0.5,0.5,22.7,0,16.7,4.3,100,12.5,
Spencer Dinwiddie  ,    DAL  ,29,    6-6  ,215,    Colorado  ,    USA  ,2014,2,38,18,14.2,2.4,3.6,0.7,1.6,7.6,23,57.6,22.2,
Stephen Curry  ,    GSW  ,34,    6-2  ,185,    Davidson  ,    USA  ,2009,1,7,22,27.4,5.2,5.9,7.2,1.5,12.7,30.4,60.6,26.9,
Sterling Brown  ,    DAL  ,27,    6-5  ,219,    Southern Methodist  ,    USA  ,2017,2,46,9,1.2,0.9,0.3,-21,3.6,24.1,23.9,42,21.4,
Steven Adams  ,    MEM  ,28,    6-11  ,265,    Pittsburgh  ,    New Zealand  ,2013,1,12,7,3.4,6.4,2.1,7.6,11.1,23.1,10.8,46.4,16.1,
Svi Mykhailiuk  ,    TOR  ,25,    6-7  ,205,    Kansas  ,    Ukraine  ,2018,2,47,3,0.3,0.3,0,-78.8,0,16.7,14.3,20.5,0,
Taurean Prince  ,    MIN  ,28,    6-6  ,218,    Baylor  ,    USA  ,2016,1,12,5,6,1.6,1.2,-26.4,1.4,10.4,20.1,49.9,15.8,
Thaddeus Young  ,    TOR  ,34,    6-8  ,235,    Georgia Tech  ,    USA  ,2007,1,12,6,3.3,3,1.7,-4.1,8.3,14.1,11.7,50.6,16.7,
Thanasis Antetokounmpo  ,    MIL  ,29,    6-6  ,219,    None  ,    Greece  ,2014,2,51,8,0.6,0.5,0.1,-17.7,3.6,13,7.8,57.9,8.3,
Timothe Luwawu-Cabarrot  ,    ATL  ,27,    6-7  ,215,    None  ,    France  ,2016,1,24,4,1.3,0.8,0.5,4.4,0,17.6,10.2,62.5,11.8,
Tobias Harris  ,    PHI  ,29,    6-7  ,226,    Tennessee  ,    USA  ,2011,1,19,12,16.9,7.6,2.9,-0.6,2.4,18.2,19.2,59.1,13.2,
Tony Bradley  ,    CHI  ,24,    6-10  ,248,    North Carolina  ,    USA  ,2017,1,28,2,5,2,0.5,52.6,0,26.7,23.8,100,20,
Torrey Craig  ,    PHX  ,31,    6-7  ,221,    South Carolina Upstate  ,    USA  ,      ,      ,      ,9,2.2,1.7,0.6,-16.1,6.7,15.4,15,43.7,10.6,
Trae Young  ,    ATL  ,23,    6-1  ,164,    Oklahoma  ,    USA  ,2018,1,5,5,15.4,5,6,-15.5,2.7,10.5,27.7,46.1,28.3,
Trey Burke  ,    DAL  ,29,    6-0  ,185,    Michigan  ,    USA  ,2013,1,9,10,3.2,0.3,0.4,-16.8,0,8.6,26.4,64.9,33.3,
Trey Murphy III  ,    NOP  ,22,    6-8  ,206,    Virginia  ,    USA  ,2021,1,17,6,5.2,2.5,0.5,9.3,2.8,11.1,8.7,64,3.1,
Tristan Thompson  ,    CHI  ,31,    6-9  ,254,    Texas-Austin  ,    Canada  ,2011,1,4,5,0.8,1.6,0.4,-35.7,4.3,15,10.9,40,9.1,
Troy Brown Jr.  ,    CHI  ,22,    6-6  ,215,    Oregon  ,    USA  ,2018,1,15,3,4,2.7,1,-1.3,2.3,17.1,23,35.3,12,
Tyler Herro  ,    MIA  ,22,    6-5  ,195,    Kentucky  ,    USA  ,2019,1,13,15,12.6,3.9,2.8,-7.7,1.8,15,24.8,49,19,
Tyrese Maxey  ,    PHI  ,21,    6-2  ,200,    Kentucky  ,    USA  ,2020,1,21,12,20.8,3.5,3.9,-0.2,1.4,7.5,21.3,61,17.2,
Tyus Jones  ,    MEM  ,26,    6-0  ,196,    Duke  ,    USA  ,2015,1,24,12,9.2,3.3,4.5,2.5,1.3,12.6,18.2,52.1,32.3,
Victor Oladipo  ,    MIA  ,30,    6-4  ,213,    Indiana  ,    USA  ,2013,1,2,15,10.6,3.4,2.1,2,1,13,21.6,49.9,13,
Vlatko Cancar  ,    DEN  ,25,    6-8  ,236,    None  ,    Slovenia  ,2017,2,49,2,2.5,1,0.5,41.1,0,33.3,26.3,83.3,14.3,
Wesley Matthews  ,    MIL  ,35,    6-4  ,220,    Marquette  ,    USA  ,      ,      ,      ,12,6.2,3.1,1.2,2.9,2.5,7.4,9.1,54.4,5.6,
Will Barton  ,    DEN  ,31,    6-5  ,181,    Memphis  ,    USA  ,2012,2,40,5,13.8,5.6,2.8,-12.1,2.9,15,19.1,50.3,11.9,
Willy Hernangomez  ,    NOP  ,28,    6-11  ,250,    None  ,    Spain  ,2015,2,35,1,2,2,0,-33.3,66.7,0,50,25,0,
Xavier Tillman  ,    MEM  ,23,    6-8  ,245,    Michigan State  ,    USA  ,2020,2,35,9,4.4,3.3,0.7,-14.8,8.4,12.9,10.6,72.4,6.4,
Yuta Watanabe  ,    TOR  ,27,    6-9  ,215,    George Washington  ,    Japan  ,      ,      ,      ,4,1,0,0,-34.2,0,0,25.9,33.3,0,
Zach LaVine  ,    CHI  ,27,    6-5  ,200,    UCLA  ,    USA  ,2014,1,13,4,19.3,5.3,6,-12.1,0,13.2,23.2,55.3,27.3,
Zeke Nnaji  ,    DEN  ,21,    6-9  ,240,    Arizona  ,    USA  ,2020,1,22,2,1.5,0,0,41.1,0,0,5.3,150,0,
Ziaire Williams  ,    MEM  ,20,    6-9  ,185,    Stanford  ,    USA  ,2021,1,10,10,6.9,1.6,0.5,-7.7,2,7.1,14,59.8,4.1,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Player  ,    Team  ,    Age  ,    Height  ,    Weight  ,    COLLEGE  ,    COUNTRY  ,    DRAFT YEAR  ,    DRAFT ROUND  ,    DRAFT NUMBER  ,    GP  ,    PTS  ,    REB  ,    AST  ,    NETRTG  ,    OREB%  ,    DREB%  ,    USG%  ,    TS%  ,    AST%,
Aaron Gordon  ,    DEN  ,25,    6-8  ,235,    Arizona  ,    USA  ,2014,1,4,10,11.1,5.4,2,-8.6,6.6,12.2,17.5,50.5,9.3,
Aaron Nesmith  ,    BOS  ,21,    6-5  ,215,    Vanderbilt  ,    USA  ,2020,1,14,5,3.2,2.6,0.2,-6,2.4,14.5,11.7,42.4,1.9,
Abdel Nader  ,    PHX  ,27,    6-5  ,225,    Iowa State  ,    Egypt  ,2016,2,58,5,0.8,1,0,-12.6,0,13.5,9.1,33.3,0,
Alec Burks  ,    NYK  ,29,    6-6  ,214,    Colorado  ,    USA  ,2011,1,12,5,14,5,2.6,2.7,3.7,15.6,22.7,54.4,17.8,
Alex Caruso  ,    LAL  ,27,    6-4  ,186,    Texas A&M  ,    USA  ,      ,      ,      ,6,5.8,1.3,0.5,-8.6,1.5,5.3,16.1,45,4.5,
Alex Len  ,    WAS  ,28,    7-0  ,250,    Maryland  ,    Ukraine  ,2013,1,5,5,4,2.2,0.4,-49.1,8.3,21.9,17.6,58.5,8.3,
Alfonzo McKinnie  ,    LAL  ,28,    6-7  ,215,    Wisc.-Green Bay  ,    USA  ,      ,      ,      ,2,0,0.5,0,3.2,0,5.9,11.1,0,0,
Alize Johnson  ,    BKN  ,25,    6-7  ,212,    Missouri State  ,    USA  ,2018,2,50,5,1.6,2.6,0,21.5,10.3,43.5,15.4,57.1,0,
Amir Coffey  ,    LAC  ,24,    6-7  ,210,    Minnesota  ,    USA  ,      ,      ,      ,10,0.7,0.2,0.1,-6.8,0,13.3,14.3,78.8,14.3,
Andre Drummond  ,    LAL  ,27,    6-10  ,279,    Connecticut  ,    USA  ,2012,1,9,5,9,11,0,-3.3,18.3,32.4,18.8,61.8,0,
Andre Iguodala  ,    MIA  ,37,    6-6  ,215,    Arizona  ,    USA  ,2004,1,9,4,3.8,3,1.3,-15,3.9,11.7,9.5,68.2,9.8,
Anfernee Simons  ,    POR  ,22,    6-3  ,181,    None  ,    USA  ,2018,1,24,6,6.5,2.7,0.8,-19.6,2.7,12.7,10.9,78,7.6,
Anthony Davis  ,    LAL  ,28,    6-10  ,253,    Kentucky  ,    USA  ,2012,1,1,5,17.4,6.6,2.6,-5.6,4.9,19.1,26.9,54.1,16.7,
Anthony Gill  ,    WAS  ,28,    6-7  ,230,    Virginia  ,    USA  ,      ,      ,      ,4,0,1,0,-26.1,2.7,10.3,7.2,0,0,
Anthony Tolliver  ,    PHI  ,36,    6-8  ,240,    Creighton  ,    USA  ,      ,      ,      ,1,0,0,0,0,0,0,0,0,0,
Austin Rivers  ,    DEN  ,28,    6-4  ,200,    Duke  ,    USA  ,2012,1,10,10,9.2,1.7,2.1,-12.6,0.3,5.7,12,60.5,9.4,
Axel Toupane  ,    MIL  ,28,    6-7  ,210,    None  ,    France  ,      ,      ,      ,4,1.3,1,0,-26.3,16.7,22.2,17.4,62.5,0,
Bam Adebayo  ,    MIA  ,23,    6-9  ,255,    Kentucky  ,    USA  ,2017,1,14,4,15.5,9.3,4.3,-16.7,8.9,15.2,22.7,49.4,23,
Ben McLemore  ,    LAL  ,28,    6-3  ,195,    Kansas  ,    USA  ,2013,1,7,4,1.5,1.8,0.3,-14.9,2.4,16.2,12,33.3,5,
Ben Simmons  ,    PHI  ,24,    6-11  ,240,    Louisiana State  ,    Australia  ,2016,1,1,12,11.9,7.9,8.8,12.9,6.6,17.1,16.2,56.2,32.3,
Blake Griffin  ,    BKN  ,32,    6-9  ,250,    Oklahoma  ,    USA  ,2009,1,1,12,9,5.9,1.8,5.5,4.9,15.9,12.8,63.4,9.2,
Boban Marjanovic  ,    DAL  ,32,    7-4  ,290,    None  ,    Serbia  ,      ,      ,      ,4,11.8,8,1,-5.4,15.6,23.7,23.4,54.7,7.4,
Bobby Portis  ,    MIL  ,26,    6-10  ,250,    Arkansas  ,    USA  ,2015,1,22,20,8.8,5,0.6,7.5,8.1,17.9,18.4,54.3,4.5,
Bogdan Bogdanovic  ,    ATL  ,28,    6-6  ,220,    None  ,    Serbia  ,2014,1,27,18,14.1,4.2,2.9,2.5,1.8,10.5,20.7,49.3,12.7,
Bojan Bogdanovic  ,    UTA  ,32,    6-7  ,226,    None  ,    Croatia  ,2011,2,31,11,18.1,4.3,1.5,0.5,1.6,11.2,20,64.2,6,
Bol Bol  ,    DEN  ,21,    7-2  ,220,    Oregon  ,    Sudan  ,2019,2,44,3,0,0.3,0.7,15.4,0,20,9.1,0,50,
Bradley Beal  ,    WAS  ,28,    6-3  ,207,    Florida  ,    USA  ,2012,1,3,5,30,6.2,4.2,-15.3,3,12.4,33.3,54,18.1,
Brandon Clarke  ,    MEM  ,24,    6-8  ,215,    Gonzaga  ,    Canada  ,2019,1,21,2,1,0.5,0,39.2,0,9.1,9.5,50,0,
Brook Lopez  ,    MIL  ,33,    7-0  ,282,    Stanford  ,    USA  ,2008,1,10,23,13,5.9,0.3,4.1,6.9,12.6,16.6,63.2,1.3,
Bruce Brown  ,    BKN  ,24,    6-4  ,202,    Miami  ,    USA  ,2018,2,42,12,7.9,5.1,2.1,2.8,8.7,12.3,15.7,55.2,13.4,
Bruno Fernando  ,    ATL  ,22,    6-9  ,240,    Maryland  ,    Angola  ,2019,2,34,6,1,0.2,0,18.7,10,0,13.8,77.3,0,
Bryn Forbes  ,    MIL  ,27,    6-2  ,205,    Michigan State  ,    USA  ,      ,      ,      ,20,6.6,1.4,0.3,-4.6,0.6,9.2,17.4,56.7,3.2,
CJ Elleby  ,    POR  ,21,    6-6  ,200,    Washington State  ,    USA  ,2020,2,46,2,0,1.5,0.5,5.9,10,20,9.1,0,14.3,
CJ McCollum  ,    POR  ,29,    6-3  ,190,    Lehigh  ,    USA  ,2013,1,10,6,20.7,6,4.3,-0.2,2.6,12.2,25,51.8,16.9,
Cam Reddish  ,    ATL  ,21,    6-8  ,218,    Duke  ,    USA  ,2019,1,10,4,12.8,3.5,1.8,-1.1,1.1,12.9,19.6,66.8,12.5,
Cameron Johnson  ,    PHX  ,25,    6-8  ,210,    North Carolina  ,    USA  ,2019,1,11,21,8.2,3.1,0.8,-2.7,3.7,10.8,13.7,69.3,5.3,
Cameron Payne  ,    PHX  ,26,    6-1  ,183,    Murray State  ,    USA  ,2015,1,14,22,9.3,2.5,3.2,4.6,1.5,10.6,23.7,51,27.5,
Carmelo Anthony  ,    POR  ,37,    6-7  ,238,    Syracuse  ,    USA  ,2003,1,3,6,12.3,3.2,1.5,-16,1.3,12.1,21.9,57.1,10.6,
Carsen Edwards  ,    BOS  ,23,    5-11  ,200,    Purdue  ,    USA  ,2019,2,33,2,2.5,0.5,0,7.1,0,14.3,21.4,83.3,0,
Cassius Winston  ,    WAS  ,23,    6-1  ,185,    Michigan State  ,    USA  ,2020,2,53,1,2,2,1,-20,12.5,20,33.3,33.3,100,
Chandler Hutchison  ,    WAS  ,25,    6-6  ,210,    Boise State  ,    USA  ,2018,1,22,2,3,1.5,0.5,-33.5,0,18.8,14.9,51,16.7,
Chris Chiozza  ,    BKN  ,25,    5-11  ,175,    Florida  ,    USA  ,      ,      ,      ,6,0.8,0.2,0.2,12.9,0,5.6,15.1,35.7,7.7,
Chris Paul  ,    PHX  ,36,    6-0  ,175,    Wake Forest  ,    USA  ,2005,1,4,20,19.2,3.5,8.6,4,1.4,8.6,24,58.4,38.3,
Clint Capela  ,    ATL  ,27,    6-10  ,240,    None  ,    Switzerland  ,2014,1,25,18,10.1,11.2,0.9,1.3,10.7,23.7,13.4,59.1,4.3,
Damian Lillard  ,    POR  ,30,    6-2  ,195,    Weber State  ,    USA  ,2012,1,6,6,34.3,4.3,10.2,5.7,0.4,9.7,30,66,39.1,
Daniel Gafford  ,    WAS  ,22,    6-10  ,234,    Arkansas  ,    USA  ,2019,2,38,5,11.8,5.8,0.6,2.8,11.1,11.5,13.7,80.7,3.3,
Daniel Oturu  ,    LAC  ,21,    6-8  ,240,    Minnesota  ,    USA  ,2020,2,33,8,0.6,0.5,0,-17.2,15.4,15.4,18.8,42.5,0,
Danilo Gallinari  ,    ATL  ,32,    6-10  ,233,    None  ,    Italy  ,2008,1,6,18,12.8,3.9,0.8,-3.4,1.7,12.8,20.4,58.7,5.3,
Danny Green  ,    PHI  ,34,    6-6  ,215,    North Carolina  ,    USA  ,2009,2,46,8,7,2.6,2.6,18.9,4.9,6.3,11.1,58.3,10.7,
Dario Saric  ,    PHX  ,27,    6-10  ,225,    None  ,    Croatia  ,2014,1,12,14,4.5,2.5,1,12.1,6.6,16.8,17.2,61.6,14.1,
Davis Bertans  ,    WAS  ,28,    6-10  ,225,    None  ,    Latvia  ,2011,2,42,4,9.3,2.8,0.3,-14.8,0,10.3,11.7,61.5,1.2,
De'Andre Hunter  ,    ATL  ,23,    6-8  ,225,    Virginia  ,    USA  ,2019,1,4,5,10.8,4,0.6,10.9,1.3,10.8,16.8,51.9,2.8,
De'Anthony Melton  ,    MEM  ,23,    6-2  ,200,    Southern California  ,    USA  ,2018,2,46,5,6.2,3.2,1,-5.7,3.7,14.1,17.6,46.7,9.1,
DeMarcus Cousins  ,    LAC  ,30,    6-10  ,270,    Kentucky  ,    USA  ,2010,1,5,7,7.6,2,0.7,-17.4,9.2,15.7,36.6,55,18.5,
Deandre Ayton  ,    PHX  ,22,    6-11  ,250,    Arizona  ,    Bahamas  ,2018,1,1,22,15.8,11.8,1.1,5,8.9,22.5,15.9,67.4,4.6,
Dennis Schroder  ,    LAL  ,27,    6-3  ,172,    None  ,    Germany  ,2013,1,17,6,14.3,3,2.8,-5.6,0.5,8.8,20.1,52.8,15.2,
Derrick Favors  ,    UTA  ,29,    6-9  ,265,    Georgia Tech  ,    USA  ,2010,1,3,11,3.4,4.2,0.3,-7.7,13.7,20,9.9,68.6,2.8,
Derrick Jones Jr.  ,    POR  ,24,    6-5  ,210,    UNLV  ,    USA  ,      ,      ,      ,2,2,0,0,22.7,0,0,19.2,40,0,
Derrick Rose  ,    NYK  ,32,    6-2  ,200,    Memphis  ,    USA  ,2008,1,1,5,19.4,4,5,-10.3,1.9,8.7,23.1,55.1,28.1,
Desmond Bane  ,    MEM  ,23,    6-5  ,215,    TCU  ,    USA  ,2020,1,30,5,5.6,3.4,2,-12.9,1.9,16.5,9.1,73.7,11.8,
Devin Booker  ,    PHX  ,24,    6-5  ,206,    Kentucky  ,    USA  ,2015,1,13,22,27.3,5.6,4.5,6.2,1.8,11.5,31.2,55.8,18.1,
Dewayne Dedmon  ,    MIA  ,31,    7-0  ,245,    USC  ,    USA  ,      ,      ,      ,4,6.3,4.5,0.8,-22.4,11.8,19.6,19.1,61.9,9.7,
Dillon Brooks  ,    MEM  ,25,    6-7  ,225,    Oregon  ,    Canada  ,2017,2,45,5,25.8,4.2,2.2,-0.3,2.9,9.7,28.5,59.5,9,
Donovan Mitchell  ,    UTA  ,24,    6-1  ,215,    Louisville  ,    USA  ,2017,1,13,10,32.3,4.2,5.5,3.1,0.9,12.2,36.9,60.2,28.4,
Donte DiVincenzo  ,    MIL  ,24,    6-4  ,203,    Villanova  ,    USA  ,2018,1,17,3,2.7,6.3,2.7,6.1,2.4,21.8,12.3,25,15.4,
Dorian Finney-Smith  ,    DAL  ,28,    6-7  ,220,    Florida  ,    USA  ,      ,      ,      ,7,10.3,6.6,2.1,5.6,6.4,11.6,12.8,54.4,7.1,
Duncan Robinson  ,    MIA  ,27,    6-7  ,215,    Michigan  ,    USA  ,      ,      ,      ,4,10.3,2.8,0.8,-16.2,0,10.4,15.8,61.4,5.6,
Dwight Howard  ,    PHI  ,35,    6-10  ,265,    None  ,    USA  ,2004,1,1,12,4.7,6.3,0.7,-8.8,14.7,28.7,16.3,58.8,8.5,
Dwight Powell  ,    DAL  ,29,    6-10  ,240,    Stanford  ,    Canada  ,2014,2,45,7,2.7,1.9,0.9,10,8.6,15.4,10.5,89.3,18.2,
E'Twaun Moore  ,    PHX  ,32,    6-3  ,191,    Purdue  ,    USA  ,2011,2,55,7,2.4,1.4,1.3,0.2,0,17.5,18.8,47.2,28.1,
Elfrid Payton  ,    NYK  ,27,    6-3  ,195,    Louisana-Lafayette  ,    USA  ,2014,1,10,2,0.5,0,0.5,-29.8,0,0,20.7,8.5,14.3,
Elijah Bryant  ,    MIL  ,26,    6-5  ,210,    Brigham Young  ,    USA  ,      ,      ,      ,11,1.3,1.1,0.4,-19.4,3.2,21.3,17.9,35,19,
Enes Freedom  ,    POR  ,29,    6-10  ,250,    None  ,    Turkey  ,2011,1,3,5,2,2.6,0,-31.2,10.5,13.7,9.4,56.3,0,
Ersan Ilyasova  ,    UTA  ,34,    6-9  ,235,    None  ,    Turkey  ,2005,2,36,1,4,0,0,-38.1,0,0,50,69.4,0,
Evan Fournier  ,    BOS  ,28,    6-7  ,205,    None  ,    France  ,2012,1,20,5,15.4,3.6,1.4,-14.4,2.8,9.9,17.8,56.4,6.1,
Facundo Campazzo  ,    DEN  ,30,    5-10  ,195,    None  ,    Argentina  ,      ,      ,      ,10,9.3,3,4.1,-6.6,2.3,9.3,15,56.5,20.3,
Frank Kaminsky  ,    PHX  ,28,    7-0  ,240,    Wisconsin  ,    USA  ,2015,1,9,10,2.2,1.4,1.4,-9.1,2.9,18.8,16.8,49,32.6,
Frank Ntilikina  ,    NYK  ,22,    6-4  ,200,    None  ,    France  ,2017,1,8,3,0,0,0,38.9,0,0,14.3,0,0,
Furkan Korkmaz  ,    PHI  ,23,    6-7  ,202,    None  ,    Turkey  ,2016,1,26,12,7,2,0.6,8.3,2.1,8.9,17.6,53.1,5.2,
Gabe Vincent  ,    MIA  ,25,    6-3  ,200,    California-Santa Barbara  ,    USA  ,      ,      ,      ,3,1.7,0.3,0.7,-10,0,5.3,12.9,83.3,28.6,
Garrison Mathews  ,    WAS  ,24,    6-5  ,215,    Lipscomb  ,    USA  ,      ,      ,      ,3,1.3,0.7,0,-11.8,0,13.3,13.3,32.3,0,
George Hill  ,    PHI  ,35,    6-4  ,188,    Indiana-Purdue Indianapolis  ,    USA  ,2008,1,26,12,4.7,1.3,1.5,2.7,2.2,4.5,11.9,57.5,12.9,
Georges Niang  ,    UTA  ,28,    6-7  ,230,    Iowa State  ,    USA  ,2016,2,50,11,3.2,1.7,0.7,-2.6,1.5,11.4,15.8,42.9,8.4,
Giannis Antetokounmpo  ,    MIL  ,26,    6-11  ,242,    None  ,    Greece  ,2013,1,15,21,30.2,12.8,5.1,7.6,6.9,26.2,31.4,59.9,24.2,
Goran Dragic  ,    MIA  ,35,    6-3  ,190,    None  ,    Slovenia  ,2008,2,45,4,16,1.8,2.8,-13.9,0.7,5.1,23.8,54,18.3,
Grant Williams  ,    BOS  ,22,    6-6  ,236,    Tennessee  ,    USA  ,2019,1,22,5,3.4,2,0.8,4.2,5.3,12.1,10.1,63.8,9.1,
Grayson Allen  ,    MEM  ,25,    6-4  ,198,    Duke  ,    USA  ,2018,1,21,5,6.4,2.6,0.2,-21.6,2.2,9.5,12.1,47.8,1.1,
Harry Giles III  ,    POR  ,23,    6-11  ,240,    Duke  ,    USA  ,2017,1,20,1,0,3,0,28.6,50,33.3,40,0,0,
Immanuel Quickley  ,    NYK  ,22,    6-3  ,190,    Kentucky  ,    USA  ,2020,1,25,5,5.8,1.4,1,-0.6,0,9.2,22.5,40.2,11.6,
Isaac Bonga  ,    WAS  ,21,    6-8  ,180,    None  ,    Germany  ,2018,2,39,4,0,0,0,10.5,0,0,21.7,0,0,
Isaiah Joe  ,    PHI  ,21,    6-4  ,165,    Arkansas  ,    USA  ,2020,2,49,4,0.5,0,0.3,-25.4,0,0,15,33.3,33.3,
Ish Smith  ,    WAS  ,32,    6-0  ,175,    Wake Forest  ,    USA  ,      ,      ,      ,5,6.8,3.2,2.8,-4.6,0.8,12.5,17,39.5,17.1,
Ivica Zubac  ,    LAC  ,24,    7-0  ,240,    None  ,    Croatia  ,2016,2,32,17,6.3,5.8,0.4,-2.3,13.2,18.8,13.8,68.1,3.6,
Ja Morant  ,    MEM  ,21,    6-3  ,174,    Murray State  ,    USA  ,2019,1,2,5,30.2,4.8,8.2,-11.3,3.3,9.1,31,57.8,30.4,
